,player,player_id,season,team,conference,ATT,COMPLETIONS,INT,PCT,TD,YDS,YPA
2929,Kyron Drones,4678010.0,2023,Virginia Tech,ACC,285,166,3,0.582,17,2084,7.3
856,Chevan Cordeiro,4373934.0,2020,Hawai'i,Mountain West,312,195,6,0.625,14,2083,6.7
2187,James Morgan,3914395.0,2016,Bowling Green,Mid-American,326,183,15,0.561,16,2082,6.4
2810,Kenyon Oblad,4361566.0,2019,UNLV,Mountain West,308,167,9,0.542,18,2081,6.8
2130,Jalen Hurts,4040715.0,2017,Alabama,SEC,254,154,1,0.606,17,2081,8.2
4239,Thomas Woodson,550357.0,2016,Akron,Mid-American,242,146,6,0.603,18,2079,8.6
3662,Quentin Harris,3917793.0,2019,Duke,ACC,357,209,11,0.585,16,2078,5.8
572,Bryant Shirreffs,549956.0,2015,Connecticut,American Athletic,279,168,8,0.602,9,2078,7.4
3258,Max Duggan,4427105.0,2019,TCU,Big 12,338,181,9,0.536,15,2077,6.1
1637,Gavin Hardison,4575668.0,2022,UTEP,Conference USA,316,166,8,0.525,11,2076,6.6
4095,Ta'Quan Roberson,4427313.0,2023,Connecticut,FBS Independents,338,197,6,0.583,12,2075,6.1
1463,Dylan Hopkins,4363410.0,2023,New Mexico,Mountain West,282,157,9,0.557,11,2074,7.4
1276,Dequan Finn,4427191.0,2021,Toledo,Mid-American,250,144,2,0.576,18,2067,8.3
4134,Tanner Mordecai,4360271.0,2023,Wisconsin,Big Ten,314,204,4,0.65,9,2065,6.6
3092,Malik Cunningham,4240069.0,2019,Louisville,ACC,179,112,5,0.626,22,2065,11.5
4031,Spencer Sanders,4361825.0,2019,Oklahoma State,Big 12,247,155,11,0.628,16,2065,8.4
1127,Damian Williams,546603.0,2017,Texas State,Sun Belt,333,194,9,0.583,12,2061,6.2
2953,Layne Hatcher,4361222.0,2020,Arkansas State,Sun Belt,195,117,2,0.6,19,2058,10.6
1758,Hank Bachmeier,4426499.0,2023,Louisiana Tech,Conference USA,269,182,5,0.677,10,2058,7.7
3212,Matt Linehan,553235.0,2017,Idaho,Sun Belt,281,173,4,0.616,16,2056,7.3
4480,Tyler Stehling,536503.0,2016,Rice,Conference USA,316,194,7,0.614,12,2049,6.5
3260,Max Duggan,4427105.0,2021,TCU,Big 12,227,145,6,0.639,16,2048,9.0
927,Clayton Tune,4360175.0,2020,Houston,American Athletic,285,170,10,0.596,15,2048,7.2
4138,Tanner Morgan,4240756.0,2021,Minnesota,Big Ten,249,149,9,0.598,10,2044,8.2
543,Brian Lewerke,3929824.0,2018,Michigan State,Big Ten,332,183,11,0.551,8,2042,6.2
1745,Gus Ragland,3125968.0,2017,Miami (OH),Mid-American,270,152,7,0.563,19,2041,7.6
4636,Zac Thomas,4036429.0,2018,Appalachian State,Sun Belt,254,159,6,0.626,21,2039,8.0
4040,Stephen Johnson,557882.0,2016,Kentucky,SEC,265,145,6,0.547,13,2037,7.7
1625,Garrett Smith,3124944.0,2015,Louisiana Monroe,Sun Belt,333,191,11,0.574,17,2033,6.1
2137,Jalen Mayden,4362894.0,2023,San Diego State,Mountain West,314,199,9,0.634,10,2031,6.5
4164,Taylen Green,4431325.0,2022,Boise State,Mountain West,272,166,6,0.61,14,2023,7.4
843,Chason Virgil,3918038.0,2016,Fresno State,Mountain West,322,166,10,0.516,13,2021,6.3
1440,Drew Pyne,4429088.0,2022,Notre Dame,FBS Independents,254,164,6,0.646,22,2021,8.0
2136,Jalen Mayden,4362894.0,2022,San Diego State,Mountain West,236,140,10,0.593,12,2018,8.6
2158,Jalon Daniels,4596472.0,2022,Kansas,Big 12,230,152,4,0.661,18,2014,8.8
573,Bryant Shirreffs,549956.0,2016,Connecticut,American Athletic,283,166,6,0.587,7,2010,7.1
2494,Jon Wassink,3916726.0,2018,Western Michigan,Mid-American,244,150,6,0.615,16,2009,8.2
4032,Spencer Sanders,4361825.0,2020,Oklahoma State,Big 12,246,155,8,0.63,14,2007,8.2
1156,Daniel Richardson,4570259.0,2023,Florida Atlantic,American Athletic,318,208,10,0.654,13,2001,6.3
3141,Marcus Childers,4039470.0,2018,Northern Illinois,Mid-American,370,213,10,0.576,15,2000,5.4
901,Christian Chapman,3139921.0,2016,San Diego State,Mountain West,251,153,6,0.61,20,1994,7.9
255,Austin Aune,4360163.0,2021,North Texas,Conference USA,295,151,9,0.512,9,1991,6.7
172,Andrew Peasley,4361607.0,2023,Wyoming,Mountain West,266,166,5,0.624,20,1991,7.5
272,Austin Kendall,4037642.0,2019,West Virginia,Big 12,304,187,10,0.615,12,1989,6.5
1155,Daniel Richardson,4570259.0,2022,Central Michigan,Mid-American,320,179,5,0.559,15,1988,6.2
2802,Kenny Potter,3914864.0,2015,San José State,Mountain West,270,182,7,0.674,15,1984,7.3
3877,Sam Hartman,4361994.0,2018,Wake Forest,ACC,291,161,8,0.553,16,1984,6.8
3273,McKenzie Milton,4042113.0,2016,UCF,American Athletic,336,194,7,0.577,10,1983,5.9
2615,Justin Herbert,4038941.0,2017,Oregon,Pac-12,206,139,5,0.675,15,1983,9.6
4592,Will Rogers,4566196.0,2020,Mississippi State,SEC,346,239,7,0.691,11,1976,5.7
4462,Tyler O'Connor,535578.0,2016,Michigan State,Big Ten,262,154,9,0.588,16,1970,7.5
2798,Kenny Pickett,4240703.0,2018,Pittsburgh,ACC,309,180,6,0.583,12,1969,6.4
2090,Jake Haener,4243322.0,2020,Fresno State,Mountain West,228,147,5,0.645,14,1964,8.6
2584,Josh Love,3921685.0,2018,San José State,Mountain West,289,162,9,0.561,14,1963,6.8
1423,Drew Hare,532480.0,2015,Northern Illinois,Mid-American,257,164,4,0.638,14,1962,7.6
1704,Grayson James,4567707.0,2022,Florida International,Conference USA,357,209,11,0.585,11,1962,5.5
2281,Jawon Pass,4035995.0,2018,Louisville,ACC,299,162,12,0.542,8,1960,6.6
478,Braxton Burmeister,4242490.0,2021,Virginia Tech,ACC,255,142,4,0.557,14,1960,7.7
237,Asher O'Hara,4374350.0,2020,Middle Tennessee,Conference USA,288,192,8,0.667,12,1960,6.8
1719,Greyson Lambert,530521.0,2015,Georgia,SEC,256,162,2,0.633,12,1959,7.7
1679,Graham Mertz,4426335.0,2021,Wisconsin,Big Ten,284,169,11,0.595,10,1958,6.9
187,Anthony Colandrea,5044387.0,2023,Virginia,ACC,246,154,9,0.626,13,1958,8.0
803,Charlie Brewer,4241222.0,2020,Baylor,Big 12,321,198,8,0.617,14,1958,6.1
65,Adrian Martinez,4361182.0,2019,Nebraska,Big Ten,251,149,9,0.594,10,1956,7.8
2847,Khalil Tate,4039602.0,2019,Arizona,Pac-12,266,160,11,0.602,14,1954,7.3
692,Cameron Coffman,530691.0,2015,Wyoming,Mountain West,241,152,10,0.631,18,1951,8.1
1207,David Pindell,4239134.0,2018,Connecticut,American Athletic,314,186,13,0.592,19,1951,6.2
4659,Zach Smith,4035409.0,2020,Tulsa,American Athletic,263,147,10,0.559,13,1946,7.4
1220,Davis Mills,4242546.0,2019,Stanford,Pac-12,240,157,5,0.654,11,1943,8.1
3731,Richard Lagow,546687.0,2017,Indiana,Big Ten,295,172,8,0.583,15,1936,6.6
2614,Justin Herbert,4038941.0,2016,Oregon,Pac-12,255,162,4,0.635,19,1936,7.6
3514,Nick Stevens,546267.0,2016,Colorado State,Mountain West,201,129,5,0.642,19,1936,9.6
1012,Connor Bazelak,4426444.0,2023,Bowling Green,Mid-American,277,168,7,0.606,12,1935,7.0
1784,Hayden Wolff,4430775.0,2021,Old Dominion,Conference USA,253,159,7,0.628,10,1933,7.6
610,C.J. Beathard,535844.0,2016,Iowa,Big Ten,301,170,10,0.565,17,1929,6.4
3602,Perry Orth,548144.0,2015,South Carolina,SEC,261,143,9,0.548,12,1929,7.4
421,Brady McBride,4371730.0,2020,Texas State,Sun Belt,282,172,7,0.61,17,1928,6.8
1813,Holton Ahlers,4360131.0,2020,East Carolina,American Athletic,269,165,9,0.613,18,1927,7.2
2749,Kedon Slovis,4428512.0,2020,USC,Pac-12,262,177,7,0.676,17,1921,7.3
1462,Dylan Hopkins,4363410.0,2022,UAB,Conference USA,215,136,4,0.633,10,1920,8.9
1711,Grayson McCall,4427936.0,2023,Coastal Carolina,Sun Belt,224,151,6,0.674,10,1919,8.6
3755,Riley Neal,3915468.0,2018,Ball State,Mid-American,335,194,4,0.579,11,1917,5.7
1297,Desmond Trotter,4373851.0,2020,South Alabama,Sun Belt,247,160,4,0.648,11,1917,7.8
371,Billy Wiles,4682927.0,2023,Southern Mississippi,Sun Belt,290,158,7,0.545,11,1916,6.6
3871,Sam Ehlinger,4241820.0,2017,Texas,Big 12,275,158,7,0.575,11,1915,7.0
2590,Josh Rosen,3886377.0,2016,UCLA,Pac-12,231,137,5,0.593,10,1915,8.3
2783,Ken Seals,4431375.0,2020,Vanderbilt,SEC,282,184,8,0.652,12,1913,6.8
662,Caleb Williams,4431611.0,2021,Oklahoma,Big 12,211,136,4,0.645,21,1912,9.1
919,Clay Millen,4432733.0,2022,Colorado State,Mountain West,234,169,6,0.722,10,1910,8.2
3570,Parker McNeil,4686137.0,2022,Louisiana Tech,Conference USA,214,123,8,0.575,18,1908,8.9
2239,Jarrett Guarantano,4035167.0,2018,Tennessee,SEC,246,153,3,0.622,12,1906,7.7
3611,Peyton Bender,3127261.0,2018,Kansas,Big 12,322,184,3,0.571,13,1899,5.9
1399,Doug Brumfield,4429516.0,2022,UNLV,Mountain West,254,164,5,0.646,10,1898,7.5
110,Alex McGough,3128843.0,2016,Florida International,Conference USA,286,167,11,0.584,13,1891,6.6
4248,Timmy McClain,4433969.0,2021,South Florida,American Athletic,262,145,7,0.553,5,1888,7.2
4497,Tyler Wiegers,3144983.0,2018,Eastern Michigan,Mid-American,264,171,3,0.648,11,1887,7.1
4204,Terry Wilson,4038940.0,2018,Kentucky,SEC,267,179,8,0.67,10,1887,7.1
1777,Hayden Moore,3125813.0,2015,Cincinnati,American Athletic,225,133,11,0.591,9,1885,8.4
274,Austin Kendall,4037642.0,2021,Louisiana Tech,Conference USA,243,148,9,0.609,13,1884,7.8
457,Brandon Peters,4036262.0,2019,Illinois,Big Ten,274,152,8,0.555,18,1884,6.9
3029,Luke Altmyer,4597679.0,2023,Illinois,Big Ten,270,175,10,0.648,13,1883,7.0
1717,Greg Windham,532440.0,2016,Ohio,Mid-American,296,160,8,0.541,14,1882,6.4
2254,Jase Bauer,4709012.0,2023,Central Michigan,Mid-American,287,163,8,0.568,12,1881,6.6
2339,Jeff Sims,4429066.0,2020,Georgia Tech,ACC,257,141,13,0.549,13,1881,7.3
4024,Spencer Petras,4360480.0,2021,Iowa,Big Ten,288,165,9,0.573,10,1880,6.5
2882,Kwadra Griggs,4039275.0,2017,Southern Mississippi,Conference USA,264,148,2,0.561,16,1879,7.1
1754,Hank Bachmeier,4426499.0,2019,Boise State,Mountain West,219,137,6,0.626,9,1879,8.6
3928,Sean Clifford,4259592.0,2020,Penn State,Big Ten,250,151,9,0.604,16,1877,7.5
902,Christian Chapman,3139921.0,2017,San Diego State,Mountain West,243,146,4,0.601,13,1873,7.7
469,Brandon Wimbush,3932451.0,2017,Notre Dame,FBS Independents,274,135,6,0.493,16,1871,6.8
2992,Logan Bonner,4036473.0,2020,Arkansas State,Sun Belt,262,156,6,0.595,18,1863,7.1
2920,Kyle Vantrease,4239714.0,2021,Buffalo,Mid-American,262,161,6,0.615,8,1861,7.1
4486,Tyler Van Dyke,4685186.0,2022,Miami,ACC,254,161,5,0.634,10,1846,7.3
2935,Lamar Jackson,3916387.0,2015,Louisville,ACC,247,135,8,0.547,12,1840,7.4
245,Athan Kaliakmanis,4432722.0,2023,Minnesota,Big Ten,294,156,9,0.531,14,1838,6.3
1487,Eli Peters,4039495.0,2018,Toledo,Mid-American,264,146,7,0.553,18,1837,7.0
2399,Joe Hubener,517248.0,2015,Kansas State,Big 12,275,131,10,0.476,9,1837,6.7
1591,Fredi Knighten,538156.0,2015,Arkansas State,Sun Belt,251,136,9,0.542,19,1835,7.3
3797,Ross Comis,3125927.0,2018,UMass,FBS Independents,197,124,3,0.629,14,1824,9.3
2715,Kato Nelson,4038741.0,2019,Akron,Mid-American,279,150,6,0.538,11,1822,6.5
2879,Kurtis Rourke,4430431.0,2021,Ohio,Mid-American,261,171,7,0.655,11,1817,7.0
1036,Cooper Legas,4430033.0,2023,Utah State,Mountain West,213,138,8,0.648,19,1815,8.5
3538,Noah Vedral,4243539.0,2021,Rutgers,Big Ten,303,180,7,0.594,7,1813,6.0
2568,Josh Allen,3918298.0,2017,Wyoming,Mountain West,270,152,6,0.563,16,1812,6.7
1283,Derrius Vick,511552.0,2015,Ohio,Mid-American,247,158,6,0.64,10,1809,7.3
332,Ben Bryant,4360056.0,2023,Northwestern,Big Ten,277,173,6,0.625,13,1807,6.5
3318,Michael Pratt,4685039.0,2020,Tulane,American Athletic,253,139,8,0.549,20,1806,7.1
2500,Jonathan Banks,3916103.0,2017,Tulane,American Athletic,219,124,5,0.566,12,1797,8.2
1548,Evan Orth,3129265.0,2018,South Alabama,Sun Belt,222,145,6,0.653,11,1795,8.1
3508,Nick Starkel,4035225.0,2017,Texas A&M,SEC,205,123,6,0.6,14,1793,8.7
2034,Jacob Park,559568.0,2016,Iowa State,Big 12,226,133,5,0.588,12,1791,7.9
2469,John Wolford,3124092.0,2015,Wake Forest,ACC,233,142,11,0.609,9,1791,7.7
2896,Kyle Kempt,552119.0,2017,Iowa State,Big 12,243,161,3,0.663,15,1787,7.4
1811,Holton Ahlers,4360131.0,2018,East Carolina,American Athletic,262,127,3,0.485,12,1785,6.8
515,Brennan Armstrong,4370775.0,2023,NC State,ACC,262,160,7,0.611,11,1783,6.8
2005,Jack Zergiotis,4428977.0,2019,Connecticut,American Athletic,260,150,11,0.577,9,1782,6.9
3474,Nick Fitzgerald,558337.0,2017,Mississippi State,SEC,286,159,11,0.556,15,1782,6.2
1558,Everett Golson,515409.0,2015,Florida State,ACC,219,147,3,0.671,11,1778,8.1
4240,Thomas Woodson,550357.0,2017,Akron,Mid-American,278,159,9,0.572,14,1777,6.4
288,Austin Smith,4597247.0,2023,Eastern Michigan,Mid-American,298,171,7,0.574,9,1775,6.0
2470,John Wolford,3124092.0,2016,Wake Forest,ACC,299,166,10,0.555,9,1774,5.9
3475,Nick Fitzgerald,558337.0,2018,Mississippi State,SEC,281,145,9,0.516,16,1772,6.3
4506,Tyree Jackson,3916564.0,2016,Buffalo,Mid-American,311,165,9,0.531,9,1772,5.7
824,Chase Garbers,4242408.0,2019,California,Pac-12,215,131,3,0.609,14,1772,8.2
3259,Max Duggan,4427105.0,2020,TCU,Big 12,239,145,4,0.607,9,1764,7.4
4444,Tyler Huntley,4035671.0,2018,Utah,Pac-12,233,149,6,0.639,12,1762,7.6
3596,Payton Thorne,4430590.0,2023,Auburn,SEC,265,162,10,0.611,16,1755,6.6
2377,Jesse Ertz,550448.0,2016,Kansas State,Big 12,264,152,4,0.576,9,1755,6.6
322,Behren Morton,4431465.0,2023,Texas Tech,Big 12,294,182,8,0.619,15,1754,6.0
4165,Taylen Green,4431325.0,2023,Boise State,Mountain West,212,121,9,0.571,11,1752,8.3
1778,Hayden Moore,3125813.0,2016,Cincinnati,American Athletic,255,146,7,0.573,11,1744,6.8
3617,Peyton Ramsey,4045290.0,2020,Northwestern,Big Ten,281,171,8,0.609,12,1742,6.2
1645,Gavin Wimsatt,4893657.0,2023,Rutgers,Big Ten,289,138,8,0.478,9,1735,6.0
3350,Mikey Keene,4597499.0,2021,UCF,American Athletic,272,173,6,0.636,17,1730,6.4
3588,Patrick Towles,530944.0,2016,Boston College,ACC,273,138,7,0.505,12,1730,6.3
4025,Spencer Petras,4360480.0,2022,Iowa,Big Ten,281,157,5,0.559,5,1725,6.1
3856,Ryan Willis,3917958.0,2015,Kansas,Big 12,315,164,10,0.521,9,1719,5.5
2752,Kedon Slovis,4428512.0,2023,BYU,Big 12,266,153,6,0.575,12,1716,6.5
1187,Darren Grainger,4369448.0,2021,Georgia State,Sun Belt,228,136,4,0.596,19,1715,7.5
382,Blake Decker,3125318.0,2015,UNLV,Mountain West,209,120,8,0.574,12,1713,8.2
3623,Phil Jurkovec,4372768.0,2022,Boston College,ACC,247,147,8,0.595,11,1711,6.9
1567,Fernando Mendoza,4837248.0,2023,California,Pac-12,243,153,10,0.63,14,1708,7.0
3293,Michael Brewer,514481.0,2015,Virginia Tech,ACC,216,126,7,0.583,13,1703,7.9
2694,Kaleb Eleby,4362230.0,2020,Western Michigan,Mid-American,151,97,2,0.642,18,1700,11.3
1624,Garrett Shrader,4426966.0,2023,Syracuse,ACC,214,134,6,0.626,13,1691,7.9
2533,Jordan Ta'amu,4242418.0,2017,Ole Miss,SEC,173,115,4,0.665,11,1682,9.7
3939,Sean White,3121585.0,2016,Auburn,SEC,208,133,3,0.639,9,1679,8.1
4342,Treon Harris,3121647.0,2015,Florida,SEC,235,119,6,0.506,9,1676,7.1
3140,Marcus Childers,4039470.0,2017,Northern Illinois,Mid-American,265,152,5,0.574,16,1674,6.3
520,Brent Stockstill,545683.0,2017,Middle Tennessee,Conference USA,239,138,8,0.577,16,1672,7.0
3915,Sawyer Smith,4039901.0,2018,Troy,Sun Belt,230,144,6,0.626,14,1669,7.3
3805,Ryan Agnew,3921648.0,2018,San Diego State,Mountain West,220,114,5,0.518,10,1667,7.6
2101,Jake Luton,3124900.0,2018,Oregon State,Pac-12,223,140,4,0.628,10,1660,7.4
3004,Logan Marchi,3914214.0,2017,Temple,American Athletic,245,136,8,0.555,9,1658,6.8
3640,Preston Hutchinson,4244804.0,2020,Eastern Michigan,Mid-American,198,126,6,0.636,12,1657,8.4
4233,Thomas Sirk,530478.0,2017,East Carolina,American Athletic,236,132,9,0.559,9,1655,7.0
254,Austin Aune,4360163.0,2020,North Texas,Conference USA,185,101,4,0.546,13,1650,8.9
3314,Michael Penix Jr.,4360423.0,2020,Indiana,Big Ten,219,123,4,0.562,14,1649,7.5
3512,Nick Starkel,4035225.0,2021,San José State,Mountain West,248,128,7,0.516,9,1645,6.6
4119,Tanner Lee,545757.0,2015,Tulane,American Athletic,276,143,7,0.518,11,1639,5.9
528,Brett Gabbert,4427243.0,2023,Miami (OH),Mid-American,188,111,5,0.59,14,1634,8.7
4578,Will Howard,4429955.0,2022,Kansas State,Big 12,198,119,4,0.601,15,1633,8.2
2522,Jordan Love,4036378.0,2017,Utah State,Mountain West,235,129,6,0.549,8,1631,6.9
1576,Frank Harris,4245186.0,2020,UT San Antonio,Conference USA,250,159,6,0.636,12,1630,6.5
349,Ben Wooldridge,4373895.0,2022,Louisiana,Sun Belt,243,137,5,0.564,15,1627,6.7
4591,Will Rogers,102597.0,2023,Mississippi State,SEC,237,142,4,0.599,12,1626,6.9
2081,Jake Constantine,4048232.0,2021,Rice,Conference USA,206,126,7,0.612,8,1622,7.9
3836,Ryan Hilinski,4426657.0,2022,Northwestern,Big Ten,256,142,7,0.555,6,1619,6.3
4525,Tyrrell Pigrome,4036210.0,2020,Western Kentucky,Conference USA,297,171,2,0.576,9,1615,5.4
1735,Gunnar Watson,4362723.0,2021,Troy,Sun Belt,228,140,4,0.614,8,1613,7.1
3762,Robby Ashford,4697512.0,2022,Auburn,SEC,250,123,7,0.492,7,1613,6.5
1165,Dante Moore,4870921.0,2023,UCLA,Pac-12,213,114,9,0.535,11,1610,7.6
4589,Will Plummer,4430635.0,2021,Arizona,Pac-12,267,155,9,0.581,6,1610,6.0
3610,Peyton Bender,3127261.0,2017,Kansas,Big 12,273,148,10,0.542,10,1609,5.9
698,Cameron Friel,4683451.0,2021,UNLV,Mountain West,226,141,11,0.624,6,1608,7.1
1976,Jack Plummer,4361493.0,2019,Purdue,Big Ten,242,145,8,0.599,11,1605,6.6
3333,Mike Fafaul,531259.0,2016,UCLA,Pac-12,259,135,11,0.521,12,1602,6.2
3719,Reid Herring,4038520.0,2018,East Carolina,American Athletic,284,153,10,0.539,6,1602,5.6
1582,Frank Nutile,3138735.0,2017,Temple,American Athletic,199,122,7,0.613,12,1600,8.0
2706,Karson Roberts,547343.0,2015,Air Force,Mountain West,148,77,11,0.52,11,1595,10.8
2806,Kent Myers,3125353.0,2015,Utah State,Mountain West,199,121,3,0.608,16,1593,8.0
2210,Jaquez Johnson,550876.0,2015,Florida Atlantic,Conference USA,239,129,7,0.54,9,1592,6.7
2845,Khalil Tate,4039602.0,2017,Arizona,Pac-12,179,111,9,0.62,14,1591,8.9
4492,Tyler Vitt,4362667.0,2019,Texas State,Sun Belt,231,147,14,0.636,11,1590,6.9
3756,Riley Neal,3915468.0,2019,Vanderbilt,SEC,258,149,5,0.578,9,1585,6.1
87,Alan Bowman,4362159.0,2020,Texas Tech,Big 12,229,148,7,0.646,10,1584,6.9
4410,Ty Storey,3886621.0,2018,Arkansas,SEC,250,143,10,0.572,11,1584,6.3
495,Brendan Sorsby,4899046.0,2023,Indiana,Big Ten,236,135,5,0.572,15,1582,6.7
4665,Zach Wilson,4361259.0,2018,BYU,FBS Independents,182,120,3,0.659,12,1578,8.7
1197,David Blough,3116188.0,2015,Purdue,Big Ten,293,169,8,0.577,10,1574,5.4
171,Andrew Peasley,4361607.0,2022,Wyoming,Mountain West,275,144,9,0.524,10,1574,5.7
2651,K.J. Costello,4044431.0,2017,Stanford,Pac-12,211,124,4,0.588,14,1573,7.5
3171,Mason Fine,4039073.0,2016,North Texas,Conference USA,261,155,5,0.594,6,1572,6.0
594,Bryson Barnes,4695600.0,2023,Utah,Pac-12,242,142,11,0.587,12,1572,6.5
4023,Spencer Petras,4360480.0,2020,Iowa,Big Ten,245,140,5,0.571,9,1569,6.4
3095,Malik Cunningham,4240069.0,2022,Louisville,ACC,218,136,5,0.624,8,1568,7.2
800,Charlie Brewer,4241222.0,2017,Baylor,Big 12,204,139,4,0.681,11,1562,7.7
2637,Justin Thomas,531104.0,2016,Georgia Tech,ACC,148,79,2,0.534,8,1559,10.5
102,Alex Flinn,4567461.0,2023,East Carolina,American Athletic,290,159,12,0.548,6,1558,5.4
676,Cam Fancher,4700135.0,2022,Marshall,Sun Belt,236,131,6,0.555,10,1558,6.6
1792,Hendon Hooker,4240858.0,2019,Virginia Tech,ACC,161,98,2,0.609,13,1552,9.6
3270,Max Wittek,513330.0,2015,Hawai'i,Mountain West,271,128,15,0.472,7,1542,5.7
4473,Tyler Shough,4360689.0,2020,Oregon,Pac-12,166,105,6,0.633,13,1540,9.3
507,Brendon Lewis,4429149.0,2021,Colorado,Pac-12,257,149,3,0.58,10,1540,6.0
4123,Tanner Mangum,545796.0,2017,BYU,FBS Independents,257,147,9,0.572,8,1540,6.0
2539,Jordan Travis,4360799.0,2021,Florida State,ACC,194,122,6,0.629,15,1539,7.9
3368,Mitch Griffis,4433829.0,2023,Wake Forest,ACC,207,123,8,0.594,9,1539,7.4
1744,Gus Ragland,3125968.0,2016,Miami (OH),Mid-American,179,115,1,0.642,17,1537,8.6
947,Colby Suits,4365325.0,2020,Louisiana Monroe,Sun Belt,248,151,7,0.609,8,1537,6.2
2475,Johnathan Bennett,4426687.0,2022,Liberty,FBS Independents,223,130,9,0.583,12,1534,6.9
926,Clayton Tune,4360175.0,2019,Houston,American Athletic,179,106,9,0.592,11,1533,8.6
1513,Emory Jones,4360230.0,2022,Arizona State,Pac-12,198,125,4,0.631,7,1533,7.7
2487,Johnny McCrary,546184.0,2015,Vanderbilt,SEC,267,146,12,0.547,6,1533,5.7
106,Alex Hornibrook,3886609.0,2018,Wisconsin,Big Ten,205,122,11,0.595,13,1532,7.5
3386,Montel Aaron,4036850.0,2017,San José State,Mountain West,225,126,10,0.56,8,1531,6.8
26,A.J. Erdely,545682.0,2018,UAB,Conference USA,199,112,7,0.563,7,1530,7.7
3271,Maxwell Smith,517427.0,2015,San Diego State,Mountain West,200,110,2,0.55,13,1529,7.6
148,Andrew Allen,3124972.0,2015,New Mexico State,Sun Belt,214,115,8,0.537,16,1529,7.1
4066,Steven Williams,4243485.0,2017,Old Dominion,Conference USA,263,147,11,0.559,6,1528,5.8
791,Chandler Morris,4692530.0,2023,TCU,Big 12,202,132,5,0.653,12,1528,7.6
4610,Wilton Speight,3115966.0,2018,UCLA,Pac-12,207,126,6,0.609,6,1527,7.4
4656,Zach Smith,4035409.0,2016,Baylor,Big 12,196,116,7,0.592,13,1526,7.8
1768,Hasaan Klugh,3139889.0,2017,Charlotte,Conference USA,279,133,13,0.477,10,1524,5.5
2467,John Urzua,3914460.0,2017,Middle Tennessee,Conference USA,220,136,9,0.618,7,1522,6.9
921,Clayton Thorson,3116144.0,2015,Northwestern,Big Ten,295,150,9,0.508,7,1522,5.2
3933,Sean Maguire,530299.0,2015,Florida State,ACC,189,112,6,0.593,11,1520,8.0
1221,Davis Mills,4242546.0,2020,Stanford,Pac-12,193,127,3,0.658,7,1510,7.8
823,Chase Garbers,4242408.0,2018,California,Pac-12,259,158,10,0.61,14,1508,5.8
422,Brady McBride,4371730.0,2021,Texas State,Sun Belt,244,146,10,0.598,12,1507,6.2
4114,Taisun Phommachanh,4426430.0,2023,UMass,FBS Independents,227,139,6,0.612,6,1507,6.6
1379,Donovan Smith,4690977.0,2022,Texas Tech,Big 12,222,147,8,0.662,12,1506,6.8
1786,Hayden Wolff,4430775.0,2023,Western Michigan,Mid-American,226,148,5,0.655,8,1505,6.7
3075,Mac Jones,4241464.0,2019,Alabama,SEC,141,97,3,0.688,14,1503,10.7
1035,Cooper Legas,4430033.0,2022,Utah State,Mountain West,221,135,10,0.611,11,1499,6.8
954,Cole Garvin,3139423.0,2017,South Alabama,Sun Belt,232,122,7,0.526,7,1490,6.4
4340,Trenton Bourguet,4569184.0,2022,Arizona State,Pac-12,204,145,6,0.711,11,1490,7.3
4341,Trenton Bourguet,4569184.0,2023,Arizona State,Pac-12,248,151,4,0.609,1,1486,6.0
4028,Spencer Rattler,4426339.0,2021,Oklahoma,Big 12,187,140,5,0.749,11,1483,7.9
3030,Luke Anthony,4043980.0,2020,Louisiana Tech,Conference USA,221,138,5,0.624,16,1479,6.7
4657,Zach Smith,4035409.0,2017,Baylor,Big 12,201,105,8,0.522,8,1471,7.3
222,Armani Rogers,4056052.0,2017,UNLV,Mountain West,189,99,5,0.524,6,1471,7.8
2340,Jeff Sims,4429066.0,2021,Georgia Tech,ACC,188,113,7,0.601,12,1468,7.8
3421,Nate Cox,4262162.0,2022,Nevada,Mountain West,251,133,5,0.53,5,1466,5.8
1170,Darell Garretson,550720.0,2017,Oregon State,Pac-12,221,128,8,0.579,6,1465,6.6
3599,Perry Hills,534317.0,2016,Maryland,Big Ten,197,122,4,0.619,12,1464,7.4
4212,Tevaka Tuioti,4039390.0,2019,New Mexico,Mountain West,195,102,6,0.523,7,1460,7.5
711,Cardale Jones,534294.0,2015,Ohio State,Big Ten,176,110,5,0.625,8,1460,8.3
340,Ben Gulbranson,4431114.0,2022,Oregon State,Pac-12,195,121,5,0.621,9,1455,7.5
3267,Max Johnson,4685740.0,2023,Texas A&M,SEC,190,118,5,0.621,9,1452,7.6
252,Austin Appleby,534770.0,2016,Florida,SEC,209,127,7,0.608,10,1447,6.9
1622,Garrett Shrader,4426966.0,2021,Syracuse,ACC,234,123,4,0.526,9,1445,6.2
3867,Sam B. Richardson,511969.0,2015,Iowa State,Big 12,213,128,8,0.601,8,1443,6.8
1341,Diego Pavia,5084180.0,2022,New Mexico State,FBS Independents,189,100,6,0.529,13,1442,7.6
4453,Tyler Keane,557700.0,2017,Coastal Carolina,Sun Belt,170,100,5,0.588,11,1440,8.5
1563,Feleipe Franks,4034948.0,2017,Florida,SEC,229,125,8,0.546,9,1438,6.3
4705,Zion Webb,4249638.0,2023,Jacksonville State,Conference USA,220,111,8,0.505,6,1437,6.5
