player,player_id,position,Season,Draft Class,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,weighted_blocking_grade,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_rg,snap_counts_rt,snap_counts_te,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_run_block
Nino Leone,41393,G,2018,2020,UCONN,12,100,0,146,70.8,76.4,67.6,72.1,6,10,394,100,100,97.2,0,19,3,815,0,0,3,809,3,0,815,415,415,400
DJ Scaife Jr.,77378,T,2018,2023,MIAMI FL,12,100,1,220,70.8,68.6,71.9,70.3,2,11,246,100,100,95.3,5,18,5,518,0,0,63,0,454,0,518,259,259,259
Cole Chewins,36277,T,2018,2019,MICH STATE,12,100,2,223,70.8,71.5,65.6,69.2,7,9,390,100,100,97.4,2,18,2,663,0,0,657,0,0,6,663,405,405,258
Tommy Kraemer,40976,T,2017,2021,NOTRE DAME,13,100,0,258,70.8,71.9,68.1,69.7,2,6,190,100,100,97.4,1,9,1,484,0,0,0,44,440,0,484,201,201,283
Joe Spencer,22803,C,2016,2017,ILLINOIS,11,100,0,187,70.8,82.8,64.5,75.0,1,8,368,100.3,100.3,98.2,2,11,2,673,673,0,0,0,0,0,673,385,384,288
Martez Ivey,46178,G,2016,2019,FLORIDA,13,100,0,163,70.8,56.5,75.5,65.5,5,15,402,100,100,96.8,3,23,3,794,0,745,49,0,0,0,794,417,417,377
Ryan Mack,11125,T,2015,2016,MEMPHIS,8,100,0,218,70.8,78.6,67.1,71.5,0,3,100,100,100,97.5,1,4,1,262,0,0,0,0,261,1,262,101,101,161
Dillon DeBoer,12036,C,2015,2017,FAU,12,100,0,165,70.8,69.3,71.3,70.3,2,11,451,100.2,100.2,98.1,3,15,2,922,854,0,0,1,66,1,922,475,474,447
Brandon Clemons,46617,G,2015,2017,MICH STATE,11,100,0,223,70.8,64.4,74.7,69.3,0,6,110,100,100,97.3,1,6,0,225,0,0,0,213,2,10,225,117,117,108
Colin Tanigawa,37820,C,2014,2015,WASHINGTON,14,100,0,340,70.8,74.2,70.7,72.4,3,8,468,100,100,98.4,6,13,2,993,790,0,0,202,0,0,993,487,487,506
Joe Gibson,45583,C,2014,2017,KANSAS,8,100,0,198,70.8,75.3,67.7,71.8,1,5,261,100,100,98.5,2,7,1,494,494,0,0,0,0,0,494,269,269,225
Joe Noteboom,46249,T,2014,2018,TCU,13,100,0,305,70.8,76.0,66.7,71.5,0,5,154,100,100,98.4,1,5,0,307,0,0,24,2,277,4,307,159,159,148
Lukas Kolter,30373,G,2014,2019,UMASS,10,100,1,216,70.8,70.9,70.0,70.5,1,3,129,100,100,98.4,1,4,0,252,0,252,0,0,0,0,252,132,132,120
Jake Majors,123123,C,2023,2024,TEXAS,14,100,0,311,70.7,84.4,66.5,76.4,1,6,483,100,100,99.3,4,7,0,908,907,0,0,0,0,0,908,504,504,404
Reggie Smith,81828,C,2023,2024,S ALABAMA,13,100,2,288,70.7,77.5,69.6,74.0,0,9,477,100,100,98.6,9,11,2,912,912,0,0,0,0,0,912,508,508,404
Josh Braun,124371,G,2023,2024,ARKANSAS,12,100,0,111,70.7,79.3,67.6,73.7,1,13,394,100,100,97.7,3,16,2,790,0,54,0,736,0,0,790,413,413,377
Spencer Holstege,101600,G,2022,2024,PURDUE,12,100,0,273,70.7,87.4,64.2,78.4,0,7,459,100,100,99.2,1,7,0,801,0,801,0,0,0,0,801,491,491,310
Carter Warren,60023,T,2021,2023,PITTSBURGH,14,99.6,1,268,70.7,76.6,67.6,73.1,2,18,617,99.4,99.4,97.6,9,25,5,1053,0,0,785,0,10,262,1057,651,655,402
Shane Vallot,81704,C,2021,2022,LA LAFAYET,14,100,0,207,70.7,67.2,70.7,69.0,2,6,452,100,100,98.7,5,10,2,974,974,0,0,0,0,0,974,473,473,501
Grant Starck,128245,T,2021,2024,NEVADA,7,100,0,239,70.7,69.7,67.8,69.0,1,3,100,100,100,96,0,6,2,179,0,0,173,0,6,0,179,110,110,69
Junior Angilau,77465,G,2021,2022,TEXAS,12,99.9,2,311,70.7,62.6,75.1,68.3,7,9,382,99.7,99.8,97.6,6,17,1,734,0,366,0,369,0,0,735,402,403,332
Jonah Monheim,86461,T,2021,2024,USC,10,100,0,326,70.7,64.1,71.1,66.6,4,13,285,100,100,95.6,0,21,4,472,0,0,19,14,439,0,472,301,301,171
Brandon Rolfe,100802,G,2020,2022,UTSA,5,100,0,331,70.7,82.2,65.8,74.8,1,2,78,100,100,98.1,0,3,0,146,0,79,67,0,0,0,146,80,80,66
Jerome Carvin,81852,G,2020,2023,TENNESSEE,7,100,0,307,70.7,65.9,72.7,69.0,1,4,142,100,100,97.5,1,6,1,273,46,1,0,226,0,0,273,149,149,124
Luke Wattenberg,41024,C,2020,2022,WASHINGTON,4,100,0,340,70.7,60.8,70.0,65.7,0,3,118,100,100,98.7,1,3,0,263,263,0,0,0,0,0,263,123,123,140
Navaughn Donaldson,59848,G,2019,2022,MIAMI FL,12,100,0,220,70.7,77.6,69.4,74.6,3,6,396,100,100,98.1,2,12,3,651,0,650,0,0,0,0,651,415,415,236
Jaylon Moore,43678,T,2019,2021,W MICHIGAN,13,100,3,347,70.7,81.0,62.7,72.3,2,6,447,100,100,98.7,8,10,2,906,0,0,899,0,6,0,906,475,475,431
Cam DeGeorge,41469,G,2019,2021,UCONN,10,100,0,146,70.7,73.1,69.5,71.4,4,6,311,100,100,98.4,1,10,0,613,0,613,0,0,0,0,613,324,324,289
Kyle Krepsz,81538,G,2019,2021,AIR FORCE,4,100,0,101,70.7,62.7,71.1,69.9,0,1,27,100,100,98.1,2,1,0,189,0,0,0,189,0,0,189,28,28,161
Austin Stidham,60135,T,2019,2023,TROY,12,100,0,318,70.7,68.6,69.0,68.7,5,25,502,100,100,96.6,3,32,2,817,0,0,812,0,3,2,817,535,535,282
Jared Hocker,60121,G,2019,2021,TEXAS A&M,13,100,0,312,70.7,64.4,73.2,67.9,3,16,467,100,100,97.3,2,22,3,826,0,826,0,0,0,0,826,495,495,331
Jake Hanson,28148,C,2018,2020,OREGON,13,100,0,264,70.7,84.2,66.5,75.7,3,9,440,100,100,98.6,4,12,0,896,895,0,0,0,0,0,896,466,466,430
Roman Andrus,36585,G,2018,2019,UTAH ST,13,100,0,329,70.7,69.7,71.5,70.5,7,7,445,100,100,98.2,4,15,1,832,0,566,174,7,85,0,832,469,469,363
Dominic Gudino,60049,C,2018,2022,S DIEGO ST,10,100,0,284,70.7,63.1,74.6,69.3,3,6,226,100,100,98,5,9,0,528,291,0,0,237,0,0,528,242,242,286
J.L. Gaston,41762,T,2017,2020,TROY,13,100,0,318,70.7,73.5,68.2,71.3,2,19,479,100,100,96.6,5,27,6,888,0,1,0,0,886,1,888,513,513,375
Chris Brown,46037,G,2017,2019,USC,14,99.9,0,326,70.7,60.4,72.0,65.6,2,17,536,100,99.8,97.5,1,23,4,1001,0,1001,0,0,0,0,1002,554,555,447
Trey Martin,32555,C,2016,2018,RICE,8,99.7,1,275,70.7,87.7,63.3,77.0,0,4,344,99.4,99.5,99.4,5,4,0,649,647,0,0,0,0,4,651,366,368,283
Caleb Peterson,46045,G,2016,2017,N CAROLINA,5,100,0,245,70.7,65.2,77.7,70.0,2,7,176,100,100,97.4,4,9,0,310,0,310,0,0,0,0,310,190,190,120
Asotui Eli,46825,C,2016,2018,HAWAII,11,100,2,180,70.7,66.2,71.7,68.6,1,12,388,100,100,98.3,6,13,0,732,602,0,0,129,0,0,732,415,415,317
Doug Brenner,46062,G,2015,2017,OREGON,11,99.4,1,264,70.7,69.7,73.9,72.1,1,3,138,100,100,98.6,3,4,0,333,69,117,0,149,0,0,335,145,145,188
Chris O'Connor,18357,G,2015,2016,ILLINOIS,11,100,1,187,70.7,68.5,73.1,70.5,1,2,112,100,100,98.7,1,3,0,208,1,161,5,41,0,0,208,116,116,92
Juan Perez-Isidoro,26973,C,2015,2018,UTSA,6,100,0,331,70.7,62.8,70.7,66.4,1,3,197,100,100,97.5,0,7,3,381,344,20,0,17,0,0,381,206,206,175
Isaiah Williams,11467,T,2014,2016,AKRON,12,100,1,102,70.7,81.7,59.9,74.5,2,11,506,100,100,97.9,2,17,4,791,0,0,784,0,5,1,791,528,528,263
Austin Stephens,24208,C,2014,2017,UTAH ST,14,100,0,329,70.7,82.5,65.1,73.9,1,9,439,100,100,98.4,2,12,2,921,921,0,0,0,0,0,921,466,466,455
Mario Yakoo,46895,G,2014,2017,BOISE ST,14,100,0,120,70.7,71.5,73.8,72.6,2,17,535,100,100,98,9,20,1,1055,0,0,0,1055,0,0,1055,557,557,498
Eden Mahina,18740,G,2014,2016,NEW MEXICO,12,100,1,241,70.7,72.8,72.3,72.4,0,4,131,100,100,97.7,5,5,1,587,0,587,0,0,0,0,587,140,140,447
Rashod Hill,11369,T,2014,2016,SO MISS,12,100,0,296,70.7,70.6,67.9,69.6,4,13,533,100,100,97.5,2,22,5,877,0,0,876,0,0,0,877,556,556,321
Jared McCray,46260,T,2014,2018,OHIO,10,100,0,259,70.7,55.3,76.5,65.9,0,6,98,100,100,94.9,2,8,2,210,0,0,0,0,210,0,210,105,105,105
Michael Gonzalez,144155,G,2023,2024,LOUISVILLE,14,99.9,0,210,70.6,77.9,67.3,72.9,0,14,464,99.8,99.8,98.5,4,14,0,926,0,877,48,0,0,1,927,490,491,436
Jack Nelson,129927,T,2023,2024,WISCONSIN,13,100,1,349,70.6,75.6,68.4,72.6,1,13,503,100,100,97.8,13,18,4,908,0,0,907,0,0,1,908,524,524,384
John Paul Flores,108653,G,2023,2024,LOUISVILLE,6,99,0,210,70.6,62.3,70.6,68.1,0,1,30,96.8,96.9,98.3,1,1,0,101,0,69,0,31,0,1,102,31,32,70
Connor Colby,144862,G,2023,2024,IOWA,14,100,0,192,70.6,52.1,73.0,63.4,2,11,311,100,100,97.6,0,14,1,714,0,0,0,714,0,0,714,327,327,387
Micah Vanterpool,52075,G,2022,2023,HAWAII,13,100,0,180,70.6,75.3,67.4,72.2,2,11,521,100,100,98.8,0,13,0,906,0,3,0,903,0,0,906,546,546,360
Wesley Ndago,145973,G,2022,2024,AIR FORCE,12,100,1,101,70.6,54.2,70.3,67.8,0,3,78,100,100,98.1,1,3,0,544,0,542,0,0,0,0,544,84,84,460
Justin Pickett,143870,G,2022,2024,DUKE,12,100,0,154,70.6,59.8,72.8,65.7,0,8,125,100,100,96.8,1,8,0,250,0,23,5,182,39,0,250,137,137,113
Obinna Eze,59837,T,2021,2022,TCU,12,100,0,305,70.6,84.2,62.2,73.3,1,11,370,100,100,97.3,4,16,4,762,0,0,759,0,0,1,762,385,385,377
Myron Cunningham,33168,T,2021,2022,ARKANSAS,13,100,0,111,70.6,69.5,69.3,69.4,4,9,370,100,100,97.4,4,16,3,894,0,0,891,0,0,1,894,389,389,505
Rasheed Walker,81798,T,2020,2022,PENN STATE,9,100,0,266,70.6,67.9,71.9,69.8,0,12,361,100,100,97.8,4,14,2,726,0,0,726,0,0,0,726,383,383,343
Jordan Tucker,59936,T,2019,2022,N CAROLINA,13,100,1,245,70.6,75.7,66.0,71.2,3,13,468,100,100,97.6,5,19,3,928,0,0,0,0,927,0,928,494,494,434
Michael Saffell,58546,G,2018,2021,CAL,6,100,0,130,70.6,86.4,65.0,77.6,2,2,253,100,100,99.2,1,4,0,450,0,0,0,450,0,0,450,266,266,184
Jesse Sosebee,46136,C,2018,2019,WASHINGTON,5,100,0,340,70.6,48.0,73.4,59.0,0,0,56,100,100,100,0,0,0,102,102,0,0,0,0,0,102,58,58,44
Michael Alves,41170,G,2017,2019,UCLA,13,100,0,324,70.6,72.6,69.4,71.4,1,15,581,100,100,98.1,1,19,3,953,0,30,0,923,0,0,953,604,604,349
Harrison Louden,13245,C,2016,2018,S ALABAMA,7,99.8,0,288,70.6,84.3,67.1,76.2,1,4,214,100,100,98.8,1,5,0,414,414,0,0,0,0,0,415,219,219,195
Trey Keenan,46944,T,2016,2017,N TEXAS,13,100,0,251,70.6,76.0,68.9,73.2,6,9,516,100,100,97,10,23,8,896,0,0,0,0,896,0,896,547,547,349
Victor Johnson,36507,T,2016,2020,APP STATE,13,99.2,0,108,70.6,80.4,66.6,72.2,2,8,356,98.1,98.2,98,6,12,2,920,0,0,899,0,0,25,927,378,385,542
Tyler Lassiter,47009,T,2016,2017,TROY,13,100,1,318,70.6,80.6,61.8,72.2,5,9,470,100,100,98.1,2,16,2,911,0,0,0,0,911,0,911,503,503,408
Ben Powers,41482,G,2016,2019,OKLAHOMA,11,100,0,261,70.6,74.8,68.6,71.3,1,7,322,100,100,98.8,2,8,0,780,0,780,0,0,0,0,780,339,339,441
Quarvez Boulware,46137,G,2016,2017,MARYLAND,6,100,0,215,70.6,56.2,71.9,65.2,0,2,51,100,100,94.1,0,4,2,121,0,120,1,0,0,0,121,52,52,69
Tarik Cook,17452,G,2015,2016,UCF,12,100,0,323,70.6,77.9,70.8,75.1,2,9,416,100,100,98.4,4,12,1,719,0,88,0,631,0,0,719,435,435,284
Dillon Guy,14222,G,2015,2016,BUFFALO,8,100,0,126,70.6,77.5,71.5,74.7,2,3,254,100,100,98.6,3,6,1,502,0,398,0,104,0,0,502,269,269,233
Chris Thomas,23375,T,2015,2016,UTEP,11,100,0,330,70.6,79.5,68.0,74.0,0,4,274,100,100,98.9,4,5,1,547,0,0,90,1,426,30,547,286,286,261
Omari Palmer,17221,T,2015,2016,SYRACUSE,12,100,0,304,70.6,71.0,76.7,73.7,3,14,361,99.7,99.7,97.4,8,18,1,743,0,0,0,0,743,0,743,391,392,352
Roubbens Joseph,46330,G,2015,2017,BUFFALO,8,100,1,126,70.6,72.0,72.3,72.1,2,6,223,100,100,97.8,3,9,1,416,0,0,0,416,0,0,416,237,237,179
Desmine Hilliard,17886,G,2015,2016,BAYLOR,12,100,0,118,70.6,78.6,68.2,72.1,0,1,97,100,100,99.5,0,1,0,265,0,82,0,183,0,0,265,100,100,165
Drew Kyser,37099,C,2015,2019,MEMPHIS,13,100,0,218,70.6,76.0,67.3,71.7,2,10,479,99.6,99.6,98.1,2,15,3,976,976,0,0,0,0,0,976,490,492,486
Halapoulivaati Vaitai,10798,T,2015,2016,TCU,12,100,0,305,70.6,76.6,64.3,71.3,5,12,426,100,100,97.8,4,18,1,799,0,0,784,0,0,13,799,456,456,343
Andreas Knappe,12025,T,2015,2017,UCONN,13,100,0,146,70.6,66.8,72.9,69.4,5,19,457,100,100,96.3,8,29,5,834,0,0,0,0,820,13,834,475,475,359
George Asafo-Adjei,46614,T,2015,2019,KENTUCKY,11,100,0,202,70.6,66.8,71.1,68.6,0,8,198,100,100,97,3,10,2,372,0,0,0,0,372,0,372,214,214,158
Kameron Eloph,37497,G,2015,2017,HOUSTON,7,100,0,182,70.6,47.8,77.4,64.7,2,9,144,100,100,96.2,4,11,0,354,0,71,21,262,0,0,354,152,152,202
Josh Thomas,27324,G,2015,2016,HOUSTON,4,100,0,182,70.6,43.3,77.9,60.9,0,2,67,100,100,95.5,1,4,2,138,0,24,0,114,0,0,138,68,68,70
Fabian Hoeller,45587,G,2014,2017,UMASS,12,100,0,216,70.6,77.5,66.7,73.8,1,11,408,100,100,98,0,14,2,657,0,657,0,0,0,0,657,433,433,224
Dan Feeney,11826,G,2014,2017,INDIANA,12,100,0,190,70.6,80.6,65.8,72.5,1,6,373,100,100,98.8,3,8,1,860,0,0,0,860,0,0,860,390,390,470
Mario Rodriguez,15689,G,2014,2015,W MICHIGAN,13,100,0,347,70.6,74.7,68.9,71.9,0,13,417,100,100,98,2,15,2,849,0,6,0,809,0,34,849,432,432,417
Michael Boland,46699,G,2014,2017,UMASS,12,100,0,216,70.6,54.1,78.6,63.9,2,16,340,100,100,96.8,5,20,2,596,0,0,2,587,7,0,596,357,357,239
Campbell Barrington,147505,T,2023,2024,BAYLOR,12,100,0,118,70.5,77.9,65.1,72.8,4,14,509,100,100,97.4,3,22,4,876,0,0,81,426,368,0,876,528,528,348
Xavier Delgado,81746,G,2023,2024,MISSOURI,13,100,0,229,70.5,67.8,70.6,69.2,4,12,423,100,100,97.9,4,17,1,902,0,901,0,0,0,1,902,448,448,454
Doug Nester,98486,G,2022,2024,W VIRGINIA,11,100,1,343,70.5,71.8,69.8,70.9,3,9,402,100,100,98.3,2,13,1,807,11,0,0,752,43,0,807,430,430,377
Marcus Mbow,145113,G,2022,2024,PURDUE,12,100,1,273,70.5,67.7,71.7,69.3,3,8,350,100,100,98.4,4,11,0,612,0,0,0,551,55,2,612,371,371,241
Jake Kradel,77328,G,2021,2024,PITTSBURGH,10,100,0,268,70.5,76.9,67.1,73.2,0,14,406,100,100,97.8,1,16,2,691,99,0,0,592,0,0,691,430,430,261
Atonio Mafi,82449,G,2021,2023,UCLA,10,100,0,324,70.5,69.1,71.1,70.1,1,3,187,100,100,97.9,1,6,2,386,0,150,0,235,1,0,386,196,196,190
Dylan Bradshaw,41566,C,2021,2022,TROY,12,100,0,318,70.5,69.9,68.2,69.2,4,9,452,100,100,97.9,1,16,3,792,792,0,0,0,0,0,792,473,473,319
Russell Baker,121957,T,2021,2023,TEXAS ST,8,100,1,314,70.5,61.4,73.5,66.8,3,13,289,100,100,96.2,2,19,3,566,117,90,0,0,358,1,566,312,312,254
Cam DeGeorge,41469,G,2020,2021,LOUISVILLE,10,100,0,210,70.5,85.5,66.5,77.1,1,5,290,100,100,98.6,2,7,1,542,0,101,0,354,85,1,542,303,303,239
Austin Warner,41389,G,2019,2020,N ILLINOIS,4,100,0,254,70.5,86.4,70.3,75.2,0,0,34,100,100,100,1,0,0,115,9,21,0,85,0,0,115,35,35,80
Will Putnam,99655,G,2019,2024,CLEMSON,11,100,0,140,70.5,82.6,67.4,74.4,0,1,87,100,100,99.4,0,1,0,201,0,2,0,199,0,0,201,92,92,109
Foster Sarell,52272,T,2019,2021,STANFORD,11,99.9,1,300,70.5,75.0,67.6,72.3,3,10,435,99.8,99.8,98,5,15,2,727,0,0,0,0,726,2,728,459,460,268
Steven Nielsen,26265,T,2019,2020,E MICHIGAN,13,100,1,160,70.5,73.3,70.4,72.2,4,19,506,100,100,97.5,6,24,1,873,0,0,863,0,9,1,873,541,541,332
Dylan Parham,60953,G,2019,2022,MEMPHIS,14,100,1,218,70.5,68.1,70.8,69.4,1,19,428,100,100,96.5,5,25,5,857,0,856,0,0,1,0,857,452,452,405
Colby Pursell,41506,G,2019,2022,COLORADO,7,100,1,143,70.5,63.9,71.4,67.5,0,6,170,100,100,98.2,1,6,0,342,0,0,0,342,0,0,342,178,178,164
Dawson Deaton,60131,C,2019,2022,TEXAS TECH,12,100,0,315,70.5,54.8,76.0,62.3,1,12,584,100,100,98.9,3,13,0,950,950,0,0,0,0,0,950,612,612,338
Devin Cochran,41198,T,2018,2022,VANDERBILT,13,100,1,333,70.5,72.1,68.1,70.3,2,12,442,100,100,97.7,5,17,3,850,0,0,0,0,849,1,850,470,470,380
Sean Pollard,41995,G,2018,2020,CLEMSON,14,100,0,140,70.5,63.4,71.6,67.3,0,5,266,100,100,97.9,2,8,3,522,11,0,0,390,120,0,522,273,273,249
Ziad Damanhoury,29458,G,2017,2018,NEVADA,12,100,0,239,70.5,77.7,67.5,73.8,1,13,462,100,100,98.5,1,14,0,792,0,0,0,789,0,0,792,490,490,302
Paul Perschon,46111,G,2016,2017,TOLEDO,13,100,1,316,70.5,79.5,71.6,75.6,3,10,408,100,100,98.4,10,13,0,860,0,859,1,0,0,0,860,433,433,427
Gus Lavaka,41803,G,2016,2020,OREGON ST,9,100,0,265,70.5,80.6,68.2,73.9,0,4,197,99.5,99.5,99,4,4,0,446,0,438,0,7,0,1,446,205,206,241
Will Richardson Jr.,46980,T,2016,2018,NC STATE,12,99.9,0,248,70.5,74.2,69.3,71.8,2,8,391,99.7,99.8,97.7,8,14,4,810,0,0,0,0,806,3,811,408,409,402
John Simpson,41715,G,2016,2020,CLEMSON,9,100,1,140,70.5,67.6,72.3,70.2,0,1,69,100,100,97.8,2,2,1,168,0,168,0,0,0,0,168,76,76,92
Cole Gardner,46332,T,2016,2017,E MICHIGAN,13,99.9,2,160,70.5,58.0,73.9,64.6,5,28,550,99.6,99.7,96.8,7,34,1,992,0,0,968,0,0,24,993,579,581,413
Daren Echeveria,39552,G,2015,2017,NEVADA,5,100,0,239,70.5,82.2,70.1,75.3,0,0,71,100,100,100,2,0,0,172,0,3,3,166,0,0,172,74,74,98
Robert Conyers,21766,C,2015,2017,OLE MISS,6,99.7,0,226,70.5,76.9,68.7,73.7,0,4,166,100,100,98.8,1,4,0,292,268,0,0,0,24,1,293,177,177,115
Shane Brostek,22123,G,2015,2017,WASHINGTON,10,100,0,340,70.5,80.4,66.3,73.3,1,1,74,100,100,98.6,0,2,0,161,40,0,0,116,0,1,161,80,80,81
Baylen Brown,46182,T,2015,2017,TEXAS TECH,12,100,0,315,70.5,67.9,69.2,68.4,2,25,588,100.2,100.2,97.7,5,27,0,956,0,0,50,318,587,0,956,616,615,340
Will Richardson Jr.,46980,T,2015,2018,NC STATE,9,100,0,248,70.5,66.7,69.5,68.0,1,11,298,100,100,96.3,1,17,5,581,0,0,0,0,577,4,581,306,306,275
Tyler Samra,17193,G,2014,2016,UCONN,12,100,0,146,70.5,83.3,66.4,75.8,1,8,343,100,100,97.8,1,12,3,651,0,0,0,651,0,0,651,361,361,290
Siosifa Tufunga,19563,G,2014,2016,WASHINGTON,13,100,0,340,70.5,82.4,67.4,75.0,0,6,245,100,100,98.4,2,7,1,502,5,364,0,133,0,0,502,253,253,249
Dillon DeBoer,12036,G,2014,2017,FAU,12,100,0,165,70.5,66.9,75.6,71.0,2,10,375,100,100,98.4,9,12,0,742,0,0,0,742,0,0,742,395,395,347
Cole Spencer,60236,G,2023,2024,TEXAS TECH,6,100,0,315,70.4,78.2,69.7,74.9,1,4,261,100,100,98.7,2,6,1,454,0,454,0,0,0,0,454,276,276,178
Quantavious Leslie,123456,G,2023,2024,W KENTUCKY,12,100,0,346,70.4,78.2,66.9,74.3,2,9,486,100,100,98.9,2,11,0,787,0,785,0,0,0,0,787,513,513,274
Febechi Nwaiwu,145324,G,2023,2024,N TEXAS,10,100,1,251,70.4,60.5,75.5,66.5,2,13,406,100,100,97.7,4,17,2,713,0,0,0,578,135,0,713,427,427,286
Christian Jones,77463,T,2022,2024,TEXAS,12,100,0,311,70.4,74.5,66.9,70.8,0,9,392,100,100,98.1,5,12,3,811,0,0,0,1,810,0,811,414,414,397
John Champe,130545,G,2022,2024,N ILLINOIS,12,100,0,254,70.4,68.0,69.6,68.9,3,6,333,100,100,98.3,1,10,1,787,0,785,1,0,0,0,787,350,350,437
Wyatt Milum,144785,T,2021,2024,W VIRGINIA,12,99.8,2,343,70.4,74.2,66.6,70.8,2,10,330,99.7,99.7,97.3,4,15,3,621,0,1,0,0,618,3,622,345,346,276
Miles Frazier,123626,T,2020,2024,FIU,4,100,0,166,70.4,81.5,61.5,73.6,1,2,71,100,100,97.9,0,3,0,126,0,0,124,0,0,2,126,76,76,50
Brett Heggie,41179,C,2020,2021,FLORIDA,12,100,0,163,70.4,77.6,65.6,73.1,1,6,496,100,100,99.3,2,7,0,833,833,0,0,0,0,0,833,522,522,311
Zion Nelson,98239,T,2020,2022,MIAMI FL,10,99.8,0,220,70.4,78.7,63.8,72.5,4,5,356,100,99.7,97.9,3,12,3,652,0,1,565,0,84,1,653,383,384,269
Justin Self,60809,T,2020,2021,NAVY,10,100,0,237,70.4,63.6,72.1,69.7,2,6,154,100,100,97.4,4,8,0,591,37,0,544,0,10,0,591,166,166,425
Julio Garcia,28977,G,2020,2022,UNLV,6,100,0,325,70.4,67.2,72.1,69.1,1,8,260,100,100,97.1,1,12,3,432,0,0,0,432,0,0,432,267,267,165
Ryan Johnson,41740,G,2019,2022,TENNESSEE,9,100,0,307,70.4,83.4,66.2,73.3,0,0,68,100,100,100,0,0,0,176,24,36,0,95,19,2,176,73,73,103
Saahdiq Charles,59820,T,2019,2020,LSU,9,100,2,211,70.4,71.7,70.5,71.3,3,14,404,100,100,97.4,5,19,2,658,0,0,658,0,0,0,658,419,419,239
Stone Forsythe,41795,T,2019,2021,FLORIDA,13,100,1,163,70.4,69.7,69.2,69.5,4,13,496,100,100,97.7,7,20,3,868,0,1,779,0,88,0,868,533,533,335
Drake Dorbeck,37286,T,2018,2020,SO MISS,11,100,0,296,70.4,88.4,59.0,76.0,0,4,404,100,100,97.8,3,11,7,737,0,1,396,0,337,1,737,425,425,312
Adam Holtorf,36660,C,2018,2020,KANSAS ST,12,100,0,199,70.4,83.3,64.9,73.4,0,3,354,100,100,99.3,3,4,1,818,816,0,0,0,0,0,818,377,377,441
Colby Meeks,46109,C,2018,2019,COLO STATE,12,100,0,144,70.4,72.6,68.0,70.9,3,12,474,100,100,98.4,1,15,0,792,792,0,0,0,0,0,792,503,503,289
Kieffer Longson,41188,G,2018,2021,BYU,5,100,0,128,70.4,66.3,70.4,68.4,0,7,91,100,100,96.2,0,7,0,195,0,175,3,2,13,2,195,95,95,100
Steven Rowzee,41473,T,2017,2018,TROY,13,99.9,4,318,70.4,84.0,69.0,77.5,2,9,442,100,99.8,98.3,15,13,2,834,0,0,832,1,0,2,835,473,474,361
Gage Cervenka,37119,C,2017,2020,CLEMSON,10,100,0,140,70.4,80.0,65.6,72.4,0,0,47,100,100,100,0,0,0,104,102,0,0,2,0,0,104,49,49,55
Jake Largay,30438,G,2017,2019,UMASS,12,100,1,216,70.4,67.7,72.0,69.3,4,6,486,100,100,97.7,3,16,6,810,1,453,0,356,0,0,810,514,514,296
Jeremiah Stuckey,38376,G,2016,2017,CAL,5,100,0,130,70.4,90.1,69.0,82.8,0,3,195,100,100,99.2,1,3,0,320,0,75,0,245,0,0,320,209,209,111
O'Shea Dugas,46157,G,2016,2019,LA TECH,14,100,0,208,70.4,80.3,67.1,75.8,2,6,378,100,100,98.9,2,8,0,587,0,587,0,0,0,0,587,386,386,201
Nick Clarke,29704,C,2016,2019,DOMINION,13,100,0,263,70.4,80.6,65.5,73.1,3,8,410,100,100,98.7,1,11,0,863,863,0,0,0,0,0,863,437,437,426
Derrick Nelson,16846,C,2016,2017,RUTGERS,12,100,0,278,70.4,79.7,66.6,73.1,0,7,394,100,100,99.1,2,7,0,824,824,0,0,0,0,0,824,410,410,414
Ross Pierschbacher,46815,G,2016,2019,ALABAMA,15,100,0,103,70.4,75.9,68.4,72.1,3,11,452,100,100,98,2,16,2,954,0,879,0,75,0,0,954,468,468,486
Alex Joss,46147,G,2016,2017,BALL ST,12,100,0,117,70.4,62.4,75.1,68.4,7,20,492,100,100,96.4,4,31,4,985,0,887,6,0,92,0,985,521,521,464
Aaron Nielsen,18017,G,2015,2016,FIU,10,100,0,166,70.4,81.7,65.9,75.3,0,3,211,100,99.5,98.8,0,4,1,370,22,163,0,185,0,0,370,221,222,149
Jordan Roos,12266,G,2015,2017,PURDUE,12,100,2,273,70.4,66.1,72.2,68.4,4,17,557,100,100,97.8,4,23,2,937,0,9,0,858,70,0,937,580,580,357
J.T. Boyd,45582,G,2014,2017,E CAROLINA,13,100,1,156,70.4,74.5,73.1,74.0,3,17,583,100,100,97.4,7,25,5,924,0,23,0,901,0,0,924,609,609,315
Josh Walker,13139,T,2014,2015,UTSA,10,100,0,331,70.4,72.4,66.8,69.7,2,5,227,100,100,98,2,8,1,459,0,0,0,0,459,0,459,240,240,219
Ty Darlington,19111,C,2014,2016,OKLAHOMA,13,100,0,261,70.4,63.8,69.4,66.9,4,13,407,100,100,97.7,0,18,1,945,945,0,0,0,0,0,945,426,426,519
